,0,1,2,3,4,5,6,7,8,9,10,11,12,13
47,17.667,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
48,17.667,2,0,0,1,0,0,0,0,0,0,1,0,12.262157
49,17.217,1,0,0,1,0,0,0,0,1,0,0,0,11.605229
50,14.583,1,0,0,0,0,0,1,0,0,0,1,0,11.547424
51,9.867,1,0,1,6,0,0,0,1,0,0,0,0,6.6119123
52,9.867,2,0,1,6,0,0,0,1,0,0,0,0,6.628019
53,9.867,3,0,1,6,0,0,0,1,0,0,0,0,6.9367867
54,8.75,1,0,0,1,0,0,0,1,0,0,0,0,10.902016
55,12.2,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
56,9.1,1,0,0,1,0,0,0,1,0,0,0,0,10.902016
57,9.8,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
58,9.8,2,0,0,1,0,0,0,0,0,0,1,0,12.262157
59,11.1,1,0,0,3,0,0,0,0,0,0,1,0,13.770426
60,11.1,2,0,0,3,0,0,0,0,0,0,1,0,13.903351
61,11.1,3,0,0,3,0,0,0,0,0,0,1,0,14.169233
62,11.1,4,0,0,3,0,0,0,0,0,0,1,0,14.530113
63,26.817,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
64,26.817,2,0,0,1,0,0,0,0,0,0,1,0,12.262157
65,7.333,1,0,0,0,0,0,0,1,0,0,0,0,9.744294
66,7.333,2,0,0,0,0,0,0,1,0,0,0,0,10.590982
67,7.333,3,0,0,0,0,0,0,1,0,0,0,0,11.190991
68,7.333,4,0,0,0,0,0,0,1,0,0,0,0,11.729063
69,12.417,1,0,0,0,0,0,2,0,1,0,0,0,12.733996
70,12.417,2,0,0,0,0,0,2,0,1,0,0,0,13.16077
71,12.417,3,0,0,0,0,0,2,0,1,0,0,0,13.909143
72,20.933,1,0,0,0,0,0,0,0,0,0,1,0,9.82506
73,15.033,1,0,0,3,0,0,0,0,1,0,0,0,14.728683
74,15.033,2,0,0,3,0,0,0,0,1,0,0,0,15.01408
75,15.033,3,0,0,3,0,0,0,0,1,0,0,0,15.428049
76,8.417,1,0,0,1,0,0,0,0,1,0,0,0,11.605229
77,14.65,1,0,1,2,0,0,0,0,1,0,0,0,7.8640566
78,14.65,2,0,1,2,0,0,0,0,1,0,0,0,8.255404
79,11.433,1,0,0,2,0,0,0,1,0,0,0,0,11.941816
80,11.433,2,0,0,2,0,0,0,1,0,0,0,0,12.132733
81,11.433,3,0,0,2,0,0,0,1,0,0,0,0,12.444451
82,11.433,4,0,0,2,0,0,0,1,0,0,0,0,12.68551
83,14.25,1,0,0,5,0,0,2,0,0,1,0,0,15.546161
84,14.25,2,0,0,5,0,0,2,0,0,1,0,0,15.235561
85,14.25,3,0,0,5,0,0,2,0,0,1,0,0,15.583749
86,14.25,4,0,0,5,0,0,2,0,0,1,0,0,16.026684
87,14.25,5,0,0,5,0,0,2,0,0,1,0,0,16.044506
88,14.25,6,0,0,5,0,0,2,0,0,1,0,0,16.503794
89,14.25,7,0,0,5,0,0,2,0,0,1,0,0,16.938572
90,14.25,8,0,0,5,0,0,2,0,0,1,0,0,16.891344
91,9.05,1,0,0,2,0,0,0,0,0,0,1,0,12.863867
92,9.05,2,0,0,2,0,0,0,0,0,0,1,0,13.038249
93,18.883,1,0,0,0,0,0,2,1,0,0,0,0,11.701484
94,18.883,2,0,0,0,0,0,2,1,0,0,0,0,12.106208
95,18.883,3,0,0,0,0,0,2,1,0,0,0,0,12.968476
96,9.867,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
97,8.783,1,0,0,1,0,0,0,0,0,1,0,0,11.578444
98,8.783,1,0,0,1,0,0,0,0,0,0,1,0,11.864438
